gene	D1	D2	D3	D4	C1	C2	C3	C4
EGFR	113	85	93	96	32	27	21	34
MMP9	91	87	95	104	33	16	25	18
VEGFA	96	65	101	115	25	16	25	22
BRAF	102	73	101	99	27	17	34	41
KRAS	100	101	87	96	13	30	18	20
AKT1	98	100	96	136	27	27	28	19
PIK3CA	82	94	116	98	34	21	15	36
PDGFRA	95	93	74	103	15	25	14	44
CDK4	90	130	117	95	31	25	32	21
MET	99	128	105	93	34	39	19	30
GENE0000	84	69	91	74	75	112	107	89
GENE0001	82	53	69	83	68	84	73	73
GENE0002	77	75	59	84	75	81	66	102
GENE0003	50	58	56	42	55	67	46	86
GENE0004	60	73	48	42	48	49	56	67
GENE0005	91	97	64	106	99	102	81	114
GENE0006	78	82	86	87	70	95	74	85
GENE0007	39	58	26	52	22	60	44	36
GENE0008	73	75	82	75	66	72	53	51
GENE0009	86	68	66	102	107	98	84	66
GENE0010	38	32	47	55	51	67	28	22
GENE0011	79	71	62	94	65	80	97	72
GENE0012	48	60	58	54	58	62	47	50
GENE0013	74	82	95	104	91	106	122	75
GENE0014	52	42	42	40	44	31	64	52
GENE0015	66	83	86	101	75	75	107	82
GENE0016	94	89	92	87	120	95	106	90
GENE0017	31	32	12	24	28	19	20	27
GENE0018	110	117	89	97	95	80	81	87
GENE0019	63	80	89	78	86	79	84	90
GENE0020	39	30	39	32	37	52	25	39
GENE0021	104	108	115	115	107	74	105	83
GENE0022	85	77	83	73	80	75	105	68
GENE0023	59	58	62	64	54	54	60	71
GENE0024	78	87	62	67	46	51	81	67
GENE0025	98	86	82	114	81	93	84	98
GENE0026	34	47	34	46	35	48	29	37
GENE0027	81	93	100	84	98	89	87	125
GENE0028	28	23	16	32	18	9	20	9
GENE0029	62	57	51	64	79	33	58	59
GENE0030	50	109	56	67	90	60	63	63
GENE0031	70	71	68	73	60	67	46	44
GENE0032	84	101	91	89	98	112	108	68
GENE0033	29	29	14	27	36	20	37	18
GENE0034	14	34	14	15	26	11	23	8
GENE0035	43	63	58	76	52	24	65	81
GENE0036	74	73	42	63	68	68	76	81
GENE0037	68	82	87	101	57	67	72	80
GENE0038	30	30	19	39	33	37	33	30
GENE0039	36	36	55	40	38	34	40	52
GENE0040	80	56	46	72	54	67	50	67
GENE0041	39	20	37	31	44	28	34	29
GENE0042	45	48	40	43	31	46	52	44
GENE0043	29	36	63	62	41	54	51	55
GENE0044	53	25	14	28	42	40	30	19
GENE0045	27	27	15	28	25	28	31	27
GENE0046	61	70	55	41	53	61	45	70
GENE0047	64	47	79	49	63	47	40	59
GENE0048	14	22	17	23	19	14	22	26
GENE0049	39	46	43	52	42	45	48	30
