	D1	D2	D3	D4	C1	C2	C3	C4
SBSPON	95	88	102	91	22	18	25	20
KLHDC7B	82	79	94	88	19	23	17	21
ZNF503	88	91	85	96	24	20	22	18
CCDC146	76	83	91	79	21	25	19	22
PCED1B	91	86	79	94	18	22	26	20
ANKRD36C	84	78	97	87	20	17	23	19
GPRASP2	79	86	83	92	23	21	18	22
LRRC15	78	85	72	88	22	19	25	17
FAM83B	75	68	82	76	20	23	18	24
DEPDC1B	82	75	79	88	25	21	19	22
PTTG2	71	78	85	73	18	22	26	20
DSCR3	79	73	86	80	22	17	20	25
TDRD3	84	77	91	83	20	24	18	22
C3orf52	75	69	82	77	19	23	21	25
LURAP1L	71	78	74	81	23	21	19	24
TGFBI	74	81	78	85	22	18	25	21
S100A4	79	73	85	76	24	20	23	19
PLAU	73	80	77	84	21	25	19	22
SPON2	77	71	84	79	23	19	22	25
FAM83D	72	79	75	82	20	24	22	18
CTGF	76	83	80	87	22	20	25	21
MMP9	72	79	76	83	21	17	24	20
VEGFA	78	72	85	80	23	19	22	26
EGFR	74	81	77	84	20	24	18	22
KRAS	76	70	83	78	22	26	20	24
MYC	80	74	87	82	24	20	23	21
GENE0001	14	21	19	24	15	17	22	13
GENE0002	27	19	13	13	11	31	20	19
GENE0003	16	22	18	14	20	22	20	15
GENE0004	12	11	13	18	44	21	22	10
GENE0005	26	15	23	14	20	19	18	35
GENE0006	13	20	24	21	19	6	24	19
GENE0007	16	21	24	18	24	21	17	21
GENE0008	20	27	19	20	19	30	14	8
GENE0009	23	24	23	15	23	14	19	14
GENE0010	19	18	21	16	20	25	18	22
GENE0011	24	22	17	25	18	19	23	16
GENE0012	15	23	20	22	21	18	15	24
GENE0013	22	16	25	19	17	22	20	18
GENE0014	18	24	22	17	22	16	25	21
GENE0015	25	20	18	23	19	24	17	20
GENE0016	17	25	21	20	23	17	22	19
GENE0017	21	17	23	25	16	21	24	17
GENE0018	23	21	16	22	24	18	19	23
GENE0019	16	23	24	18	20	23	21	16
GENE0020	22	18	20	24	17	20	18	25
GENE0021	19	22	17	21	25	16	22	20
GENE0022	24	16	22	19	18	24	20	17
GENE0023	17	24	19	23	22	19	17	24
GENE0024	20	20	25	17	19	22	23	18
GENE0025	25	19	21	22	16	25	19	21
GENE0026	18	23	18	25	23	17	24	19
GENE0027	22	17	24	20	20	23	18	22
GENE0028	15	25	20	18	24	20	21	17
GENE0029	21	21	22	24	17	18	25	20
GENE0030	24	18	17	21	21	24	20	23
GENE0031	16	22	25	19	18	21	17	25
GENE0032	20	24	19	23	25	17	22	19
GENE0033	23	19	23	17	19	25	18	22
GENE0034	17	21	21	25	22	18	23	17
GENE0035	25	17	18	22	20	22	21	24
GENE0036	19	25	22	20	17	20	25	18
GENE0037	22	20	25	18	24	17	19	23
GENE0038	15	23	17	24	21	23	17	20
GENE0039	21	18	24	21	18	21	24	17
GENE0040	24	24	20	19	23	19	20	25
GENE0041	17	20	22	25	19	24	18	21
GENE0042	23	17	19	22	25	18	23	19
GENE0043	16	25	25	17	17	23	21	24
GENE0044	20	22	18	24	22	20	19	18
GENE0045	25	19	23	20	20	17	25	22
GENE0046	18	24	20	23	18	25	17	20
GENE0047	22	21	17	25	24	19	22	17
GENE0048	15	18	25	21	21	22	20	25
GENE0049	21	23	22	18	19	20	18	22
GENE0050	24	20	20	22	23	17	25	19
GENE0051	17	25	18	19	25	24	17	23
GENE0052	23	22	24	25	18	21	23	17
GENE0053	16	19	21	22	22	19	21	25
GENE0054	20	17	19	20	20	23	19	22
GENE0055	25	24	23	17	17	20	24	19
GENE0056	18	21	25	24	25	17	22	23
GENE0057	22	18	22	21	22	25	20	20
GENE0058	15	23	20	19	19	22	18	17
GENE0059	21	20	18	23	23	20	25	24
GENE0060	24	17	25	25	20	18	23	21
GENE0061	17	25	23	22	18	25	17	19
GENE0062	23	22	21	20	25	23	21	23
GENE0063	16	19	19	17	22	21	19	20
GENE0064	20	24	24	25	19	19	24	17
GENE0065	25	21	22	22	23	24	22	25
GENE0066	18	18	20	19	20	22	20	22
GENE0067	22	23	18	23	17	20	18	19
GENE0068	15	20	25	20	25	17	23	23
GENE0069	21	17	23	17	22	25	21	20
GENE0070	24	25	21	25	19	23	19	17
GENE0071	17	22	19	22	23	21	24	25
GENE0072	23	19	24	19	20	19	22	22
GENE0073	16	24	22	23	17	24	20	19
GENE0074	20	21	20	20	25	22	18	23
GENE0075	25	18	18	17	22	20	23	20
GENE0076	18	23	25	25	19	18	21	17
GENE0077	22	20	23	22	23	23	19	25
GENE0078	15	17	21	19	20	21	24	22
GENE0079	21	25	19	23	17	19	22	19
GENE0080	24	22	24	20	25	24	20	23
GENE0081	17	19	22	17	22	22	18	20
GENE0082	23	24	20	25	19	20	23	17
GENE0083	16	21	18	22	23	17	21	25
GENE0084	20	18	23	19	20	25	19	22
GENE0085	25	23	21	23	17	23	24	19
GENE0086	18	20	19	20	25	21	22	23
GENE0087	22	17	24	17	22	19	20	20
GENE0088	15	25	22	25	19	24	18	17
GENE0089	21	22	20	22	23	22	23	25
GENE0090	24	19	18	19	20	20	21	22
GENE0091	17	24	23	23	17	18	19	19
GENE0092	23	21	21	20	25	23	24	23
GENE0093	16	18	19	17	22	21	22	20
GENE0094	20	23	24	25	19	19	20	17
GENE0095	25	20	22	22	23	24	18	25
GENE0096	18	17	20	19	20	22	23	22
GENE0097	22	25	18	23	17	20	21	19
GENE0098	15	22	23	20	25	17	19	23
GENE0099	21	19	21	17	22	25	24	20
GENE0100	24	24	19	25	19	23	22	17
GENE0101	17	21	24	22	23	21	20	25
GENE0102	23	18	22	19	20	19	18	22
GENE0103	16	23	20	23	17	24	23	19
GENE0104	20	20	18	20	25	22	21	23
GENE0105	25	17	23	17	22	20	19	20
GENE0106	18	25	21	25	19	18	24	17
GENE0107	22	22	19	22	23	23	22	25
GENE0108	15	19	24	19	20	21	20	22
GENE0109	21	24	22	23	17	19	18	19
GENE0110	24	21	20	20	25	24	23	23
GENE0111	17	18	18	17	22	22	21	20
GENE0112	23	23	23	25	19	20	19	17
GENE0113	16	20	21	22	23	17	24	25
GENE0114	20	17	19	19	20	25	22	22
GENE0115	25	25	24	23	17	23	20	19
GENE0116	18	22	22	20	25	21	18	23
GENE0117	22	19	20	17	22	19	23	20
GENE0118	15	24	18	25	19	24	21	17
GENE0119	21	21	23	22	23	22	19	25
GENE0120	24	18	21	19	20	20	24	22
GENE0121	17	23	19	23	17	18	22	19
GENE0122	23	20	24	20	25	23	20	23
GENE0123	16	17	22	17	22	21	18	20
GENE0124	20	25	20	25	19	19	23	17
GENE0125	25	22	18	22	23	24	21	25
GENE0126	18	19	23	19	20	22	19	22
GENE0127	22	24	21	23	17	20	24	19
GENE0128	15	21	19	20	25	17	22	23
GENE0129	21	18	24	17	22	25	20	20
GENE0130	24	23	22	25	19	23	18	17
GENE0131	17	20	20	22	23	21	23	25
GENE0132	23	17	18	19	20	19	21	22
