	D1	D2	D3	D4	C1	C2	C3	C4
MYC	980	1050	1120	990	210	195	220	205
EGFR	870	920	890	945	180	165	175	190
TP53	145	130	152	138	480	510	495	520
VEGFA	760	810	790	830	160	145	155	170
CDK4	650	690	710	670	140	130	150	125
CCND1	840	880	860	910	175	160	168	182
KRAS	730	760	745	780	155	142	165	148
BCL2	610	655	630	680	130	118	140	125
PTEN	120	105	130	115	420	445	435	460
HIF1A	790	830	815	855	165	152	175	158
MMP9	680	720	705	740	140	128	155	132
IL6	540	580	560	610	110	98	120	105
STAT3	720	765	748	790	152	138	162	145
CDH1	95	85	100	90	380	410	395	420
NOTCH1	660	700	685	725	138	125	148	132
AKT1	710	755	738	775	150	136	158	142
PIK3CA	680	720	705	740	142	128	152	135
RB1	110	98	118	105	395	425	410	440
BRCA1	102	90	108	96	365	390	378	402
TNF	520	558	542	578	108	96	115	102
